Prek Center Name;License Type;3 Year Old Capacity;4 Year Old Capacity;Total Capacity;Test;Grade and Subject;Valid Tests;Proficient Tests;Percent Proficient;Funding Source;Address;Zip Code;City;Full Address;Latitude;Longitude;Census Tract 2000;Census Tract 2010;Census Tract 2020;City Council District;Commission District;Super District;Geopoint
Memphis STEM Academy community partners;DOE;2;18;20.0;TNReady;3rd - ELA;31.0;8.0;25.8;VPK;2180 Frayser Blvd;38127;Memphis;2180 Frayser Blvd Memphis, TN 38127;35.21826399;-89.99169601;47157010210;47157010210;47157010210;7;7;8;34.15354575303699, -92.50896978613359
Georgian Hills Elementary Pre-K;DOE;2;18;20.0;TNReady;3rd - ELA;32.0;8.0;25.0;SPED;3930 Leweir Street;38127;Memphis;3930 Leweir Street Memphis, TN 38127;35.2329617;-89.9978871;47157010000;47157010000;47157010002;7;6;8;34.1535457921889, -92.50896980977086
Hawkins Mill Elementary Pre-K;DOE;0;20;20.0;TNReady;3rd - ELA;34.0;12.0;35.3;Fund 1;4295 Mountain Terrace Street;38127;Memphis;4295 Mountain Terrace Street Memphis, TN 38127;35.2431754;-89.9844058;47157010000;47157010000;47157010001;7;6;8;34.1535458226426, -92.50896976757016
Barret's Chapel School Pre-K;DOE;0;20;20.0;TNReady;3rd - ELA;35.0;16.0;45.7;Fund 1;10280 Godwin Road;38002;Arlington;10280 Godwin Road Arlington, TN 38002;35.3488747;-89.7202406;47157020810;47157020810;47157020835;;1;;34.15354616055579, -92.50896891991371
Rozelle Elementary Pre-K;DOE;0;20;20.0;TNReady;3rd - ELA;40.0;13.0;32.5;Fund 1;993 Roland Street;38114;Memphis;993 Roland Street Memphis, TN 38114;35.1190361;-90.0094994;47157006200;47157006200;47157006200;4;9;9;34.153545477832665, -92.50896982303726
Sharpe Elementary Pre-K;DOE;10;10;20.0;TNReady;3rd - ELA;44.0;10.0;22.7;VPK;3431 SHARPE;38111;Memphis;3431 SHARPE Memphis, TN 38111;35.0858593;-89.9481673;47157008200;47157008200;47157008200;4;10;8;34.153545398100846, -92.50896961356064
Larose Elementary School Pre-K;DOE;9;11;20.0;TNReady;3rd - ELA;44.0;3.0;6.8;Head Start;864 South Wellington;38126;Memphis;864 South Wellington Memphis, TN 38126;35.1236028;-90.0470627;47157004900;47157011600;47157011600;6;8;8;34.15354548349156, -92.50896994787384
Geeter K-8 Elementary Pre-K;DOE;10;10;20.0;TNReady;3rd - ELA;45.0;;;VPK;4649 Horn Lake Road;38109;Memphis;4649 Horn Lake Road Memphis, TN 38109;35.0216753;-90.0693285;47157022330;47157022330;47157022330;6;11;8;34.153545200073836, -92.50896999889584
Geeter K-8 Elementary Pre-K;DOE;2;18;20.0;TNReady;3rd - ELA;45.0;;;VPK/Head Start;4649 Horn Lake Road;38109;Memphis;4649 Horn Lake Road Memphis, TN 38109;35.0216753;-90.0693285;47157022330;47157022330;47157022330;6;11;8;34.153545200073836, -92.50896999889584
Northaven Elementary School Pre-K;DOE;10;10;20.0;TNReady;3rd - ELA;47.0;6.0;12.8;Head Start;5157 NORTH CIRCLE ROAD;38127;Memphis;5157 NORTH CIRCLE ROAD Memphis, TN 38127;35.2651384;-90.0424123;47157020100;47157020101;47157020101;;1;;34.1535458722478, -92.50896996362108
